dni,numero_celular
84514171,630839410
52272532,335450279
59107269,826750714
99354450,877551641
15908162,231716501
76891114,455712902
33169851,870428378
66518239,250979122
86085069,862673348
70554443,594795156
69991349,823910200
27728946,797052215
50046952,661124208
91989507,591913930
16341204,364109466
88578549,529550323
45439288,969048754
17638490,785973400
17256840,777041318
15254664,426703568
55062607,833996808
94103292,377521369
47559506,733118779
18274459,273685887
67648949,835018194
40669898,819481164
89526041,650785268
68263984,717190170
59543184,710907198
70728470,791157719
82092816,712361283
12994971,981616159
56345882,649795622
35175521,596790215
90245063,258356107
73013520,466387775
68754522,978513862
49466177,372095847
82705905,649597452
64910243,279151841
10818817,658914047
94028771,989339806
86290851,574499142
62342004,959048306
14691869,272852681
25888050,597206458
23447348,852775374
23715481,891434246
61188898,422994356
79181814,987375224
16911443,872371699
56156849,591917168
52445448,532764907
79749303,369552092
26345651,888755427
38633728,669319626
27985981,543477021
92623746,937511814
73136749,796939158
11834308,585071658
10908894,778595839
18353465,561211318
25687530,597088610
51838339,571855461
82143433,393787553
63826440,955279540
19009972,937003207
55845650,264626203
84383820,983484421
25881547,857451394
56968603,976707006
93587685,416911582
58197856,923918929
37610152,255394383
35750707,370878290
21007024,223104103
36487841,693976729
36553523,267375383
41665844,766191320
40875177,518652129
43845183,584919041
31121316,830054887
98362518,739746628
54615188,717394972
75396070,549555283
20374342,317450989
71682981,940516482
40903198,783936941
17290124,535936919
60573246,784941341
31275150,941708128
70636235,225819646
47194422,776836874
24411518,926236432
71836477,821194417
27703732,955008616
12898151,382997798
91336387,346721570
53452191,652747366
87930487,237561262
86472965,896533495
18612183,373813719
11773810,273704946
52484680,272113481
16366733,637547845
10586203,725131587
61202174,345257769
12649676,570797757
92335796,772314950
52316581,336682550
28533618,975062636
19728539,377385271
72030806,778482330
19991337,633784657
45089914,969871184
93200561,213731754
19094782,865685037
64423941,277728759
26076558,570812294
94987366,814533420
21316745,695704694
92650831,839291817
83801185,338239579
68604256,637389694
78062881,844526393
81820056,788427652
12555843,479751608
32305329,449929459
13410782,967662482
38952618,863586542
82873887,291068094
44015173,730954419
19922400,831042395
27873973,838671715
77065046,656661474
94573469,884177377
53174968,646152143
69813807,855915590
67054588,357655207
30865722,464949224
15065174,569007203
23911755,462794504
56142448,748662476
15845439,286455427
38838305,242791338
81590379,296827291
23462881,458624655
32806175,987049422
83213907,292731775
20443762,783431484
86605187,916308677
62894095,292060934
37634737,355625072
85423581,735247050
37210731,615481469
88126718,266436793
34054653,252194228
63982755,893577223
18342056,684697786
28624821,257610480
96464017,212628547
89596380,976965315
40919838,611845441
25286920,952130452
67137058,611663121
14930879,426865813
29455217,357378858
15096961,677318612
86170195,776413943
22418436,823473746
84033338,774868369
83899072,246565722
66505788,944717248
36698063,886108483
46821374,774359428
26296351,430561558
50097806,897893448
77082263,536011691
19291115,513860916
40425302,229777179
19446292,994314468
37741420,455794199
32751166,214732387
77786888,836731875
50708999,478810116
96045890,472618561
39195958,324918402
17392302,472476578
95159703,686518323
14755428,852119435
99473266,542984151
91059584,318223596
79021605,929120959
20142925,975323097
74456755,312163786
31967879,428695105
80196851,943803152
25559520,293501721
66807762,388249468
90243721,399287196
46591198,978585288
39844245,271649014
96500269,832453055
64283957,491834889
62321544,418934358
26333601,610878516
73963243,761642253
21414732,636406450
87761025,742276688
92858867,794005145
44946258,568086093
92968246,476156087
44542674,487219604
70262506,692597566
16145331,698230731
84738344,894466877
40907530,235306996
99048041,852397051
18524605,773578081
82486606,518935805
11817716,243976999
46791695,548533532
72833094,769202141
78747279,981291493
28696131,853832097
19281767,641535453
68218123,588943947
69992025,844192840
11247898,897567513
20292764,918331356
92789849,858851716
94021738,557857824
92426423,524781159
41747005,795877332
23723896,439739649
23027023,620406855
92822174,813761136
77398475,730306565
83572496,863299886
98615429,249657896
99523579,245205147
60611998,682123913
45179060,245824620
26819966,511867040
33570259,586069408
66978315,638296619
71034794,315988940
85027782,487070846
35861047,330177276
64410328,468321987
33801506,762758746
31531127,470944941
70038057,824784214
59592884,617518451
93798691,948087006
25973809,747644211
66587316,745664749
90176461,953748648
17420376,741327108
85238490,646269656
72392244,317297270
40956168,252747765
52956886,742483113
13794331,692985185
65378626,939966218
25576706,490932565
95035907,698078497
52723896,435562520
15527978,650994834
42565726,648199907
47867200,660382149
10024444,643200443
83306040,767429690
99128563,217081666
30185223,236007307
21283419,899001460
48987055,814303770
66919243,527663093
16063017,696945327
27282874,370161135
74225747,410853083
54501475,591163888
39105109,232717311
55832117,371811731
20244339,256591693
95007950,360496831
53534136,882789473
72307711,415513681
89564815,729803537
90762960,755615942
69282613,328467730
13230302,945321653
15271701,242511801
25403763,978624534
15209474,659754137
99033221,274659180
43965938,298290442
79623737,654561228
53487732,970556599
34113293,299095431
22612661,367569074
39669029,960833608
22754355,287147809
27378441,539283346
19734253,310890966
65441458,698445179
55433677,585192039
55716174,691072338
51510183,725687814
59937510,922080699
18066992,488358683
54223470,562361070
39131303,469581636
69426324,723409578
38398409,283211437
42522922,393543405
28247180,672664561
60707201,910769503
15096241,288916704
12186924,631656750
75625821,568117056
24017429,340339046
78183296,610656122
35152658,626828950
73764295,454205293
38666103,518547256
87054568,483462005
22786640,918877804
30685707,914944027
67011241,490561911
17677650,523805057
40388049,442599763
16050706,627488190
81599641,451954272
84810930,250082862
28368191,248333714
64970199,574022792
49454609,826094963
24598244,651771709
73844478,754440327
62752654,759608036
95156776,842699281
31011466,332108411
90625423,818286585
54482701,272174670
46155602,231172404
27349639,640373217
89655545,422139325
88264514,624218105
42137824,541706312
45589248,362176403
70734460,975889944
38724035,675810960
18949836,711382989
28357339,245545177
83123501,540408925
53670031,991723415
38770270,848393225
58787083,510671368
15067817,846346905
31962176,850210088
43446057,444876561
78207184,911103908
72723414,999105630
94856157,668356374
31685639,531200889
83556274,959690422
55319958,633459510
96055910,483799590
75939097,236864916
80796805,593154300
32930470,318924355
75725380,513304366
45642079,360246016
43476320,646853620
32848870,735415413
99494646,351028119
16927243,614203031
59759596,952961293
31992704,894234843
30579988,260033461
32294393,710361141
10900269,620260188
92423358,835583417
37614119,874511371
33974441,610573184
26426626,818463029
40663560,820666105
97761324,256459096
86083059,869564559
13346073,371302850
87870983,357519717
39762554,690138863
23649724,782309389
14139672,678916045
42947212,530832234
33981754,343596830
82693210,968164519
50017820,941918448
11349044,780190776
28483975,654467878
81551760,846179711
49900056,765711923
56580741,989472979
85998213,781144515
30480789,653920480
97282641,887980841
44194263,773305734
49233289,780708251
13268372,477277248
30253604,392209572
31119993,661354342
91069876,393655484
98427052,858757117
57672764,941980291
87600558,891548621
11373952,723439099
37797916,373105667
76500183,846557531
16455009,380918778
77433541,974737810
24507881,597657985
14593533,724833243
56020698,930723213
87504535,982032528
48777377,735041247
16516011,762014375
39882007,325123963
85492844,691833893
19766299,777794744
79712525,272045248
34002253,263664287
97878595,625171438
31666118,680995637
36256964,828029936
31337467,922475657
61894072,695354650
20401011,950930818
14271756,783260310
16674257,555754633
52062729,649402553
64267519,827592997
91800932,821584472
64819169,898814006
61498022,332573396
31343271,771301064
98704084,671334334
56822684,610626373
70483818,457389322
64662104,986855908
81390468,659531088
29459419,869304812
82015156,896933738
33233010,618197934
40078374,464950324
94298834,387616371
87327930,813344645
36616743,867675236
20809490,423303476
61949240,522401326
25137420,452509441
28533023,665904007
38319138,670707278
92416219,584785650
48265621,381638687
84030499,481030516
68940304,368636834
34625780,262653031
73749878,984597853
89755563,217406172
57217201,868367568
61417528,356137585
36016910,716960117
28140351,856851265
94942038,745836254
28520389,343117599
14296740,668226578
54137381,874237533
68621659,370293756
56434510,889213658
11516046,889247821
15256368,292258567
12024195,631435569
55094856,531851790
36619942,622615241
42939641,523873807
83902608,773749204
22881213,551476401
42435578,441957864
47681259,858232022
91636709,513699957
16206080,319454963
18039534,735455439
83112506,382119083
20723435,622928348
46017885,612165388
69454725,678638591
48042537,555220187
82040886,515728111
74331397,283321693
90754160,744761131
14189977,610139519
87802193,399332193
33616376,859730100
99713317,248556419
90227773,298668199
94172755,437712427
60369382,923570921
64434066,932462029
16659472,587272310
35183358,657312357
92289965,754260067
32539290,928404070
12740927,474847710
71342016,593603939
59974125,489496215
65756845,610689062
69660148,419681919
35360296,613928005
10825300,278337933
12659180,953812455
52783386,979440345
36242346,866238464
41972426,742850971
36657147,984358690
55199090,413076087
51785838,636596319
89156640,497847131
43341513,323188415
54582449,236603628
64215097,325898234
21371588,567544917
39655973,423406635
64954377,422655811
71886433,326555070
20015420,584969977
77016403,261378760
72916147,426279701
27923798,925599154
31902871,955817700
55690642,276550439
96696206,628687787
85773586,244746872
88615427,237396953
79161667,934478351
31239251,315095622
31040374,387857912
22504420,743103628
30308217,913295829
58398666,982819628
26672115,786387677
16643290,874115848
36498320,496962169
22480618,353030232
64569067,718414909
78563468,780027864
70380798,977575879
13148378,860148653
81783746,470911194
53506493,863795714
75334163,995748503
20769093,650466400
92701459,444750906
67401612,963183977
57081412,648061675
97015949,588629476
64919759,244761740
26922669,580363085
81878755,599290247
35968816,374143983
52018163,624203149
47182088,614094814
28988232,243629038
99406250,941771674
16280965,510614724
56822761,640938948
41258519,684719015
73771243,786923762
63243888,615705661
78115228,759989527
65913078,922420633
44517424,217950184
74188712,283719070
85144946,218929230
48681280,726338597
80864307,882590948
19684480,486049980
20125023,692143403
67469226,870877043
66238759,738150248
82470945,386720895
29042852,727794254
84584659,454963867
17512327,511025659
47558781,368060585
51636698,386329177
22330669,434521161
20354059,223353811
21289711,387662174
29059904,544704251
78366016,914748757
48670232,838999932
77254994,579874763
88821270,240354027
80471321,396942235
51097153,569707638
39676820,266361627
86116272,663354848
94161015,799601581
67766319,665830318
45083153,250532920
25872265,716547673
21950874,475512652
49476970,530275507
61808348,729699630
14478208,265434504
14942380,524289872
43463579,521776037
60512626,610010712
54894801,944559185
85168221,561517232
33063865,634546518
26862545,720719407
59785384,556907372
74081680,489546527
90522494,623148841
48215515,847734716
38031123,441910269
90591276,849159452
56993645,658186892
31940276,737167402
80911755,668498805
33781722,752518576
60781987,826535819
42957360,427925690
94433585,648349649
70258768,556295526
82837737,239736879
67504544,273768200
25008439,645856192
80793112,851974705
45547761,668435456
45086650,548444289
58047618,523017372
55019890,539887221
83767016,523827381
82361523,591184484
99899607,364441394
39189709,962903758
97265507,994201930
61934419,260338816
89472331,322207814
74036361,393542253
94606099,561549136
93309141,348116435
37450648,560125241
16575290,777561744
69260132,916366977
17815020,939088245
26218238,250807613
