profesor_dni,sede_id
59116731,5
93056343,15
79162767,15
99374140,15
99383802,15
95634138,8
36336866,14
47480291,2
52251777,10
12684134,10
37203724,14
59576564,7
26910921,18
28842650,0
96232738,11
78149530,10
59040903,15
19745744,3
90730268,14
66359428,7
74041375,12
60396588,6
30143445,8
13264379,10
50468932,5
60974932,1
96232738,5
75061946,11
44552429,7
25127635,16
25537293,13
73758291,2
60898440,17
57269770,0
78046208,0
87672407,8
64249980,1
93487503,0
93487503,6
12235874,0
13612669,13
33194229,10
12892956,9
79162767,17
72449355,13
12786029,10
20250120,9
42625976,6
69744413,4
78464120,7
89559516,17
99022440,1
79139876,16
12035199,4
57299503,3
12684134,6
53686847,15
32020725,18
17943649,12
69744413,10
42762945,4
85749110,7
14986191,4
62963111,9
49271231,0
37203724,13
23364950,18
60396588,4
85815897,15
50468932,16
56044775,7
47480291,6
74120840,9
55091738,19
93487503,3
84780976,18
31323531,16
59526163,15
23364950,4
80020925,9
71083314,1
59560303,18
25769995,1
34418441,15
26752983,1
39202413,13
88156872,18
85749110,17
90398139,15
20658089,13
23720157,10
55091738,5
42762945,11
19482745,12
12035199,16
18194702,11
33194229,15
62065538,3
43019592,6
74553167,6
33185721,6
71668934,15
76444710,13
34535116,4
30143445,12
65544752,2
71619088,3
41739358,3
58174354,8
44552429,3
36744015,12
65544752,3
59617358,17
20474325,14
55289895,6
61662650,12
59526163,7
28557871,7
71631450,7
30796517,8
20250120,16
22407153,17
26646359,3
89852967,2
59526163,1
90559340,4
99383802,17
36032038,9
59040903,10
65274974,15
37197705,17
37203724,10
25005550,0
72906374,9
58453213,2
91877639,17
53408832,2
79162767,13
18089709,1
65899475,0
51333334,5
74041375,19
14986191,1
41047421,5
12684134,15
95945389,13
57794875,6
13501012,4
29169535,13
37358683,15
35154852,7
15007612,14
27641815,5
58917245,0
79281615,14
18381061,16
20474325,12
26455419,11
63270906,4
77079877,13
37197705,3
91798332,9
99374140,5
30696623,19
21118962,19
51300445,3
23119469,0
35249551,9
34890065,18
26455419,13
37358683,5
41844709,0
26876391,12
36032038,12
45397811,3
42133653,0
40558595,9
15994552,19
54077132,0
67952446,15
33180301,9
97678953,0
61036356,15
62963111,2
84780976,19
11132434,19
84995625,5
79931957,12
66362835,16
59576564,12
66964495,4
61692525,3
58411521,4
98454631,18
70980656,10
59193685,8
33180301,19
54090456,12
81425825,19
50324214,6
14223745,4
10962210,12
73023921,9
41938298,17
13612669,0
51685055,2
83636561,17
56366403,18
47935176,16
76444710,0
96342560,7
53306337,6
29332847,11
52463141,15
39336281,1
67911815,9
29332847,6
78046208,8
37653867,1
30143445,16
90566384,4
71083314,10
34345918,8
95842688,6
66964495,11
95945389,6
34989186,10
39536001,1
59040903,4
52280099,7
12723037,17
74120840,1
86906649,11
24639864,6
72150963,3
98039311,11
82900667,9
53686847,2
89852967,11
62761327,14
36744015,19
41763992,12
66230172,12
12035199,6
24822861,0
26711927,19
11395617,10
50630568,7
20658089,6
92058246,11
29169535,5
11395617,8
65400336,15
78453223,6
77535790,11
65928132,6
55091738,12
24177643,17
56875885,4
65544752,1
82916471,4
26910921,1
25537293,17
41739358,9
63313241,7
38249035,3
91472793,12
95232369,1
29169535,12
79469253,6
59193685,16
11445998,14
38877598,4
96838494,8
15994552,15
62761327,11
26646359,19
92283148,10
65899475,9
64201660,6
94543380,15
53037491,11
43301794,3
51218567,12
53994987,13
30696623,7
20886029,1
48322682,0
77497761,5
80170244,6
81148606,5
75670475,17
39165815,10
79281615,6
60396588,2
51649342,10
62199681,9
71619088,7
10889099,13
26711927,1
84995625,11
26711927,0
75670475,16
64201660,17
35007865,18
82916471,3
30496187,19
71629959,19
31323531,4
32185921,15
12357522,19
33984588,12
26752983,0
18786824,2
19656890,4
71057669,15
29661557,5
26752983,3
54077132,2
65544752,6
26876391,2
91946484,19
79931957,1
19745744,13
15994552,17
71080869,5
14756818,4
27798593,11
11132434,12
57117468,2
96181954,11
24630075,13
95310771,7
20455336,15
73758291,4
43301794,17
93833966,13
38877598,19
34626904,9
66117967,17
95842688,4
66850202,7
37197705,0
79139876,5
79281615,17
35015765,17
91472793,0
29661557,13
50548225,2
44552429,14
45577494,16
75061946,16
35032008,13
29196905,2
41022435,2
79105096,17
90559340,10
25537293,3
11719453,3
98039311,12
66359428,12
66850202,11
41453830,6
75061946,10
60514384,13
60898440,7
28842650,12
87397688,11
69984600,3
19745744,6
71668934,8
18786824,16
19656890,16
26910921,9
38349121,18
56875885,12
43455529,10
56396892,12
43455529,1
93178151,3
99374140,6
85672199,12
47042127,9
37915136,2
12222127,19
74553167,15
65089194,5
60974932,14
77497761,0
62065538,8
37653867,14
86871859,1
39165815,6
57269770,19
65477553,16
27641815,15
53665319,12
