year,alumno_dni,sede_id,grado_id,secretario_dni
2006,64911263,1,5,14080813
1979,33310366,6,5,33379456
2014,50253243,15,7,14141066
1967,76332678,16,2,84175321
2012,12857870,3,3,84065326
2005,96834361,7,5,78150502
1999,26189894,4,1,92109614
1960,91881527,14,2,46041781
1983,34551017,13,5,24875024
2005,48541924,5,8,16469400
1997,31343044,2,3,14265812
1976,98535266,5,8,29558820
2010,23395727,12,4,95678928
1980,95343682,0,4,30451519
2005,82797053,5,9,78548630
2023,20272248,8,0,43576406
1987,77242769,17,0,30903956
2018,80699835,17,5,57490343
2016,53388074,14,9,53880888
1971,91366954,16,1,35116117
1971,11738477,0,9,63723307
2016,13529842,15,1,43165392
2007,66185119,5,8,83772726
1989,31952186,11,3,23080770
2011,17356018,1,2,48431358
1999,72550224,12,6,58752944
1979,23598632,16,7,33379456
1964,21747780,10,6,33379456
1982,19501914,12,8,43123434
1966,77785272,18,7,30451519
1961,90575340,8,3,77615895
1996,54206879,18,2,30451519
1990,68715537,19,1,11839541
2015,72648912,3,8,57447283
1986,62734772,16,5,53880888
1977,32700709,10,2,63723307
1976,24834709,14,6,43123434
2007,76022711,4,9,57490343
1996,65175593,16,1,64319530
2012,56287193,4,0,83680332
1962,95654152,17,4,37731882
1976,97684674,6,7,38726533
2024,44619143,11,0,92109614
1982,45387104,8,5,55706970
1970,88221030,0,10,78548630
1985,81180191,19,1,31458754
1979,96503590,4,2,17607423
2023,90432384,14,9,19373250
1982,84734830,15,4,26460618
2015,50409293,10,1,89845053
1963,44640648,2,6,87942869
1986,60642780,13,10,38717078
1987,96081725,7,7,42978476
2004,30828625,10,2,58128734
1986,11981749,9,3,73162963
1986,91688167,9,0,63635195
1976,59038859,7,10,15968194
1987,58391475,14,6,95914360
2007,43091160,7,5,21316535
1980,79136388,7,9,84175321
2019,77099072,11,3,57490343
1971,48271467,13,10,96285651
1971,17318592,18,8,50181090
2023,95127709,19,9,53880888
1976,64895177,10,10,24875024
1962,46562569,5,0,14561697
2009,75210062,13,2,30451519
1997,76426100,9,3,96285651
1976,47592358,1,6,84065326
2019,31652338,11,8,77916151
1997,96560235,14,1,20761150
2016,77209068,5,3,64884528
1967,21177474,5,4,11433412
1980,65979007,9,1,87942869
1996,14049263,3,7,37460711
1978,37439686,3,0,84588243
2021,97557927,14,2,18900235
2022,36527065,18,0,84588243
2012,75731233,14,3,21546916
1985,25712865,16,7,36170069
2000,22781965,3,0,51162185
2005,30925169,3,5,31815155
1960,85620768,17,6,77615895
1977,40874100,12,9,73162963
2016,70285893,19,0,92109614
1990,92420883,0,4,48431358
2005,26984479,7,1,46706772
2023,82734703,14,7,62658017
1981,89558172,1,0,97935480
1984,16274653,15,10,93120973
1985,35507433,9,1,36201211
2018,61580437,1,4,43702709
2017,51000204,8,4,77615895
2010,93426448,9,9,45979790
1982,80657717,3,10,96286728
1981,86990473,19,6,15968194
1981,74145136,15,1,70467839
2018,95127709,15,0,54568875
1963,33047343,11,9,17607423
1964,71752359,18,4,90620509
2022,75555774,6,1,37460711
1990,74374810,2,6,48431358
1981,37929605,9,1,38717078
2008,29635124,18,10,40193383
2014,44881750,17,5,63918442
1966,24902577,18,8,95541655
1979,37255909,15,1,52555496
1993,83272866,0,4,19003715
1982,45178365,16,6,84175321
2009,10151088,19,1,62093547
1965,50412825,1,0,79789984
1996,77942644,10,7,46706772
2018,94630011,18,5,14080813
1999,14667783,6,7,96285651
1982,72233516,16,5,81061735
2012,71130715,4,7,86861214
2012,69480028,7,1,57490343
1966,84304585,1,10,96285651
1963,41020788,9,3,15968194
2019,11108605,19,5,83774465
2017,52480178,3,0,88953878
1982,33108426,9,10,84065326
1965,69458697,5,10,84588243
2017,82866979,0,3,22710362
2009,61535359,4,0,15968194
2008,20236420,12,9,40193383
2008,90408481,0,7,37460711
2011,69976017,18,8,71567046
1985,10823135,0,9,54568875
2012,21345437,9,10,14265812
2016,39495238,14,7,94698419
1975,41382777,19,8,95121059
1984,42820808,4,6,43086842
1985,37833440,2,7,42791240
1989,14414706,5,7,97935480
1996,69480028,11,2,31458754
1989,94526284,2,8,86861214
2012,51783939,11,0,54568875
1988,81432400,0,2,43123434
2006,41020788,11,0,77916151
1999,36064720,19,2,43576406
1970,92338497,19,8,21316535
2020,92671173,14,7,35116117
2004,55938414,17,3,80460594
2011,84677951,17,7,68124756
2018,76728168,2,4,21546916
1995,73043091,0,10,43086842
2012,82774817,11,7,37731882
2001,44179020,2,4,14561697
2014,22935523,17,0,32544267
2017,24507866,11,5,43702709
1970,64009000,15,1,62658017
2008,18033282,13,10,14265812
2000,33862258,3,6,32544267
1981,55618397,9,1,30451519
1978,65058953,5,9,43702709
1985,46178400,5,7,26632976
1990,52425458,2,8,14561697
2023,58602669,14,4,38726533
1968,93224874,4,0,58128734
1987,94532331,11,10,95914360
1982,99446440,4,10,21546916
1983,31343044,0,4,19373250
1977,21452625,8,3,62093547
1982,38646785,1,5,22710362
2001,68043073,13,1,37731882
1967,70654988,16,4,90080123
1988,94066211,8,10,63635195
1972,62942343,16,8,26632976
1984,33469988,18,0,85683622
1983,35999045,5,6,57447283
1962,12202628,17,0,83772726
2019,83389731,1,6,35116117
1991,63053197,18,7,21907808
2016,37999755,12,9,43576406
1998,21335652,7,7,20578278
2013,76944064,14,4,95121059
1964,82231230,6,2,50181090
2021,12202873,0,2,42791240
1976,84149436,14,7,84637592
1973,78711407,9,5,81061735
2002,86663731,13,1,11839541
1972,36674186,15,9,43576406
2012,92895022,16,5,14080813
1990,53794608,1,10,23080770
2019,31823676,19,4,30903956
2024,97219292,11,8,55706970
2018,79448190,16,1,83772726
2006,72233516,18,7,11839541
1990,44299147,14,3,54568875
1985,34845932,5,7,84175321
1964,82943027,6,8,57490343
2024,67450109,16,10,77257073
1967,45013910,6,5,64319530
1974,84922451,1,9,90620509
2018,88371649,5,4,93120973
1999,25961248,8,6,78310349
1992,63783416,19,2,90080123
1993,82286665,9,7,70467839
1984,73495952,10,4,83680332
1960,16269821,12,4,90620509
1984,98562978,15,9,31815155
1985,73570493,7,4,70467839
1975,79477604,17,4,84175321
1990,41849204,4,0,78548630
2024,28227166,18,1,31815155
1965,84172368,6,2,95914360
2014,38030045,1,5,14561697
2024,77477456,0,9,84637592
1967,69137621,8,9,58752944
2023,10749582,16,5,40333704
1974,69496750,14,5,48431358
2016,64609624,19,5,87942869
1987,44942525,17,1,57490343
1981,38561586,15,9,33379456
2012,12189778,10,0,58128734
1993,72417341,8,10,71567046
1988,53170517,0,3,90620509
1997,69568534,10,9,37731882
1970,12101112,17,7,87942869
1980,67460976,13,6,42978476
1974,31127637,11,5,21220643
2017,67964532,17,4,71567046
2019,52551887,18,6,42978476
2003,71605686,9,1,20578278
2000,25651990,5,5,73162963
1996,43564142,11,1,36170069
1964,60880756,10,2,84125240
1968,51000204,16,4,20761150
1998,51383091,4,3,84588243
1975,71037748,7,4,30451519
2013,21713516,10,7,80815046
1979,46503410,18,6,50102807
1983,57071689,7,1,38882043
1973,36147655,18,9,55706970
1998,84409817,17,8,89845053
1992,63555746,18,5,95541655
2015,22678825,11,10,17607423
1983,17399078,1,10,14141066
2010,84304585,11,9,21220643
2000,10953995,3,10,37460711
2024,24008358,12,1,14080813
2002,43925088,9,4,14265812
2018,16629795,17,3,20578278
1988,72052186,3,7,84065326
1987,40227205,5,0,83772726
1992,70014416,15,10,24875024
1989,68928866,14,3,70467839
1986,46835119,4,7,14265812
1988,84841881,2,1,58752944
2024,34604327,7,4,17607423
1985,86712358,2,4,78310349
2021,25747204,16,4,78548630
1973,92656410,3,9,14265812
1963,58942054,8,10,95914360
1961,47082112,13,9,86861214
2011,31719841,5,2,45979790
2009,57377325,19,8,84175321
1969,15139065,3,8,43576406
1998,96384144,15,10,86861214
1977,72822279,0,10,95541655
1990,10132785,8,8,55706970
2014,91879522,6,7,53880888
2013,28950713,19,6,43165392
2020,54506735,0,3,96285651
2005,55927255,10,0,84065326
1976,71236908,4,9,29558820
1978,33195402,12,5,21220643
1992,77767938,5,7,84125240
1989,28618015,19,0,19373250
1989,84903799,18,1,68124756
1998,60046706,9,2,21907808
2018,81138256,5,6,53880888
1969,18034645,5,1,95541655
1960,88067154,3,3,64636580
2008,85703783,12,5,92109614
1981,28545727,10,3,23897976
2002,40271224,14,4,15968194
2002,30332163,5,6,62658017
2008,69976017,0,3,46706772
1963,25849484,17,10,43576406
1996,14878197,16,6,71567046
1997,82593896,13,5,84588243
1994,43617457,7,9,18900235
2008,49850740,12,0,31815155
1992,62911365,5,9,80815046
1962,61641193,15,0,62093547
1976,58074414,8,1,77615895
1964,44902820,17,2,21220643
1984,10831135,13,0,38882043
1990,84432316,14,2,30451519
2024,62847561,4,8,77916151
2024,97144437,16,2,63635195
2014,52690667,19,0,16469400
1965,84304585,5,1,63918442
2004,97577415,15,10,83680332
1966,45309892,12,5,46706772
1967,61067164,0,4,45192301
1980,68459069,10,1,92109614
1999,42828233,6,0,93120973
1981,89265952,19,7,31458754
1985,76547470,13,2,19373250
1976,26784098,5,0,20578278
2017,65413902,18,7,87942869
2011,28765040,12,5,95914360
1982,14122713,3,2,14080813
1981,95678191,13,3,52555496
1999,92558786,6,9,85683622
2014,13410868,9,4,97935480
2019,90618594,19,4,62093547
2002,94526284,3,5,50102807
1994,57661884,5,6,89845053
1960,46887339,1,8,89845053
2016,13047285,9,8,89845053
2004,60830829,13,5,37460711
1973,55868726,10,9,17607423
1987,24032371,11,3,78150502
2020,25712865,6,7,50181090
1975,52923857,12,1,38882043
1995,38803318,16,6,63635195
1968,34774466,17,6,35116117
1966,26189894,5,6,77257073
1991,14302261,18,0,77916151
2018,38830394,7,10,89845053
1990,95158505,2,9,84637592
2005,41649141,12,1,69272203
2020,59903113,11,8,84125240
1972,87287927,17,6,45192301
1990,60317527,15,10,17607423
1990,25929534,18,0,79789984
2003,62399025,19,5,15968194
2014,75214015,16,7,31815155
1980,64473520,10,10,62093547
2022,41271276,12,1,95914360
1988,83899600,14,8,63723307
1981,19720410,0,6,40193383
2016,28730756,6,6,38717078
1968,91084500,3,3,90080123
2024,95536397,13,10,55706970
1997,97445013,2,2,46706772
1964,62942343,5,6,43702709
2004,18401875,1,1,55706970
2020,35521958,10,0,16469400
1969,77785272,11,2,37731882
2004,81731955,15,2,50300266
2008,11385077,19,2,40193383
1998,36429182,10,9,32544267
2021,77490093,6,8,93120973
1968,55940488,11,0,83772726
2014,11419410,16,6,68124756
1990,82278478,9,4,95914360
2024,92759450,12,8,78310349
1963,19921006,2,4,71567046
1962,99991429,4,0,54568875
1964,12841530,1,9,40193383
1977,67003101,9,3,22710362
1974,91470180,5,0,90080123
1981,64732231,4,1,85683622
1979,91231580,5,4,87942869
1965,42028563,9,0,30451519
1964,67591383,8,8,70467839
1999,78985348,17,7,37460711
1973,45537221,17,5,33379456
2009,94814522,13,1,90080123
2005,94814522,10,7,21546916
2005,84494700,6,6,94698419
1974,76610385,1,10,73302006
1989,16274653,7,8,96285651
2006,66236273,7,9,31815155
1975,33853987,6,2,84175321
1980,75731233,1,7,43165392
2024,41216453,8,6,17607423
2016,97015525,18,0,95678928
1978,73452139,6,9,52555496
1983,14866519,8,3,85683622
1988,20265025,0,1,43123434
1964,63455375,0,3,26460618
2012,72511297,0,2,32544267
1975,18033282,4,10,37731882
2021,25976836,2,10,31458754
1962,90983727,7,5,80460594
2010,85335729,1,10,53880888
2022,70796234,15,1,84637592
2001,88118539,7,4,62093547
1960,33355168,16,0,11433412
2011,39218652,14,7,80815046
1996,70953797,16,2,78548630
2010,71120001,3,1,64884528
2018,60271036,10,1,33379456
1978,25645623,13,2,95541655
2020,38370862,7,0,23080770
2005,83267713,5,9,33379456
2004,23109882,10,10,83772726
2001,59997316,13,5,88953878
1998,79651305,4,4,79789984
1976,86950221,13,6,45192301
1990,21615817,7,6,95541655
2006,12857723,12,8,97935480
2019,18757270,7,6,29558820
1987,62738989,0,2,84630356
1964,56986813,6,3,23897976
1973,10551331,16,1,18900235
1963,94404810,15,0,94698419
1989,13892245,8,0,58752944
2021,19550723,10,3,43576406
1971,18935643,18,3,64884528
1979,19473999,2,10,64357240
1988,96309553,11,10,57978856
2024,90695067,15,7,32544267
2014,55313912,0,10,63723307
1976,25857659,11,2,46706772
2014,99646716,0,2,63918442
2024,33293254,1,6,20761150
2008,21746117,0,9,78310349
1973,41020788,8,6,16469400
1977,77325980,11,8,43165392
1982,15847571,3,6,20761150
2006,72240466,1,2,21316535
2003,68583895,3,4,19003715
2018,79508733,7,1,36170069
2002,85486695,17,0,68124756
2012,68043073,17,0,58752944
1994,15157431,9,10,52555496
1974,42820808,2,1,32544267
1981,92677974,19,0,95678928
2011,65488205,2,2,19003715
1980,65085805,1,3,63635195
1982,29147164,12,6,43576406
1961,83362117,12,10,89845053
1998,39489769,16,3,38726533
2021,71192211,13,6,95914360
1966,32219879,10,9,23897976
1964,98952978,12,6,50181090
1968,70647141,5,3,85683622
1991,40929401,3,1,83772726
1965,42461713,17,1,43123434
1972,71823941,4,4,37460711
2008,85038541,4,8,84637592
2012,83563057,8,3,20578278
1964,77932163,18,1,35116117
1990,77932163,4,8,84630356
1989,92338497,15,1,68124756
1975,67647866,2,5,88953878
2023,91389204,19,10,50102807
2004,31429627,14,1,77257073
2014,51929777,11,5,94698419
1984,12547770,8,5,80815046
1980,67398265,18,3,20761150
1978,59252843,11,2,77916151
2015,66195470,1,0,81061735
2021,91996856,16,4,95914360
1968,75896923,14,9,57447283
2013,73152041,11,7,63918442
1999,90558547,12,5,78310349
1976,81856175,19,7,97535169
1998,40201492,0,6,95678928
1972,33684397,6,8,21220643
2016,26618419,4,2,14141066
2004,14541053,0,6,33379456
1993,24841790,9,9,36201211
2014,67505524,13,8,96285651
1970,21814401,3,0,36201211
1960,44765825,0,3,24875024
2007,62945097,18,2,84284834
2001,79509470,13,9,50300266
2014,45742848,9,7,97535169
1963,58168790,12,5,17607423
2012,31892670,12,3,38726533
1976,51936953,3,9,64884528
1992,87445391,15,2,37460711
1999,42197023,3,6,32544267
1961,28408280,18,6,70467839
1995,17571042,3,4,63918442
2003,23098793,16,8,32544267
1978,22500163,0,5,42978476
1984,17988803,18,0,81061735
1968,13449578,18,9,52555496
1983,22930523,11,9,22710362
1980,50625510,17,2,43576406
1993,93558531,18,10,31458754
1964,65377328,7,5,40193383
2002,67880258,8,1,22710362
1994,28415567,17,1,50300266
2004,60288796,14,0,45979790
2004,67450109,16,8,90620509
1988,58061089,6,1,20578278
1993,64314886,10,8,53880888
2009,34218838,12,1,43123434
1992,61233914,17,3,83772726
1982,89576227,10,6,70467839
1980,50852638,12,9,40193383
2006,48369170,9,1,42978476
1994,30522356,14,5,95914360
2019,33492947,1,7,37731882
2015,88582986,16,5,84125240
1961,75663972,5,4,38717078
2020,55203493,17,1,11433412
2010,52791001,16,2,83774465
1960,34311117,0,0,23080770
2015,43659395,14,4,21546916
2014,59151337,12,10,36170069
2000,87319469,17,10,37731882
2002,62485198,13,4,38726533
2019,29179938,5,7,83772726
2018,75087524,2,10,42791240
2018,84087211,5,4,58752944
1973,13965923,5,9,73302006
1995,78059272,7,8,79789984
1992,34433282,6,2,84630356
2005,85908267,1,10,37460711
2023,98258314,16,7,45192301
1964,94162421,9,10,90620509
1967,28686476,2,9,38717078
1993,39854699,1,9,14141066
1983,85050884,12,4,30451519
2000,41925711,10,0,62093547
1996,96730111,19,8,45979790
2015,99896340,1,1,69272203
1981,60773533,9,3,18900235
2001,53948455,13,0,53880888
1969,85339459,17,0,87942869
1967,81529028,4,7,38717078
1993,60980109,6,1,37460711
1991,73378937,18,6,64319530
1964,88550371,12,10,73162963
1968,52452614,4,3,95541655
2002,95316282,18,9,30451519
2002,88705350,18,0,57447283
1998,50371294,15,4,24875024
2024,57285488,2,4,90080123
1987,48789126,11,10,80815046
2014,39685340,0,2,21220643
2000,36062039,7,0,64357240
2013,92781545,14,9,11433412
2005,98512312,7,0,43123434
1973,39219286,5,5,31815155
1994,86411216,5,3,87942869
1966,39156810,5,10,14141066
2003,80897842,15,0,64636580
1969,75604390,4,3,79789984
1983,68857806,1,6,64636580
1987,42496286,5,2,70467839
1982,94150612,12,0,62093547
1979,88273996,9,2,83774465
2014,82376050,6,9,86861214
1970,39332341,19,9,71567046
1997,19907869,12,8,30903956
2008,29608863,11,1,88953878
1989,52180379,4,5,21220643
2010,19204094,12,3,58752944
1980,10310239,4,9,14141066
1978,25086162,15,10,63723307
1964,67673841,7,7,70467839
1968,22573975,16,4,48431358
2001,76305573,3,4,83774465
1982,21821299,5,9,26460618
1960,51145492,5,10,95914360
1967,16245922,18,10,21220643
2010,38260391,2,9,64357240
1985,74675146,7,2,52555496
2008,32806626,3,3,20761150
1969,25996275,6,7,80460594
2016,86217152,10,10,64636580
1960,45879971,3,2,83772726
2001,61067164,11,7,21546916
2022,68245600,9,0,57447283
1998,16056747,8,9,31458754
1971,35858404,5,4,84125240
1986,75800689,0,10,79789984
1971,19197503,1,4,43086842
1980,98451239,8,9,50181090
1986,14133211,18,5,63723307
1998,97440634,0,7,37460711
2001,67460976,16,5,40333704
1982,27627726,10,2,50102807
2000,44179526,4,6,46355755
2005,30471679,2,8,21220643
1993,54925461,18,9,23080770
1991,34012463,3,9,84637592
2007,36470827,1,7,46706772
1966,20025195,16,5,89845053
1975,36504932,9,7,84637592
2024,64597236,11,9,80815046
2006,62600631,18,2,21220643
1966,50253243,19,2,43086842
2003,15875375,10,4,32544267
1996,72704859,1,10,64357240
1991,84172368,15,8,21546916
2014,88926204,11,1,64884528
2023,67954640,6,8,77615895
2004,10831135,1,8,83680332
2017,34940385,19,5,86861214
1992,33996365,4,9,63918442
1974,86411216,1,8,38726533
1995,55940488,15,4,14265812
1998,73398060,15,0,37460711
1961,14050362,17,1,85683622
1962,34834559,13,3,52555496
1969,79136388,3,10,83680332
1988,92282500,0,10,21316535
2020,75937748,0,4,57978856
2011,28730756,7,6,18900235
2000,22290346,15,6,81061735
1975,41036258,9,8,96285651
1966,11143850,7,9,43165392
1964,15325357,16,9,85683622
2020,38108039,14,9,50300266
1965,64130192,18,8,23897976
1963,30065587,6,0,54568875
2023,50181089,18,6,95914360
2015,93850715,17,0,95121059
1966,58011980,3,3,37731882
2019,75753389,5,5,26460618
2012,89135411,11,1,95121059
2008,85770160,19,6,95914360
1964,22598743,13,8,20578278
1980,21276609,15,9,95914360
2014,10907800,19,7,42978476
1964,27006719,12,3,43123434
2006,65085805,6,0,68124756
2004,37064103,1,2,53880888
1980,82819846,15,9,19373250
2021,36527065,16,10,64319530
2012,27877621,19,6,78310349
1991,79170389,1,6,20761150
2003,25285874,9,4,29558820
2014,27705982,9,7,52555496
1979,51194407,1,2,71567046
2004,35950682,5,1,24875024
1991,94606371,11,3,71567046
1970,76728168,12,1,30451519
2013,99423589,13,4,36201211
1960,58037036,7,2,64636580
2010,21181371,17,7,63723307
1964,28855200,9,5,84065326
1991,74129294,3,5,57447283
2010,21812622,0,0,85683622
1972,39489769,9,4,64884528
1998,81511551,18,4,64319530
1984,17470829,8,10,19373250
1980,66752258,7,0,93120973
1968,72712886,2,9,79789984
2002,94272789,14,7,88953878
2007,50517082,17,3,54568875
2014,71037871,5,5,73162963
1988,16083896,9,1,97935480
1980,56599272,6,1,48431358
1977,96911503,16,3,36201211
1963,56962008,14,6,36170069
1987,29468074,7,4,77916151
1984,17523322,5,9,31815155
2018,88273996,18,5,21546916
1970,86870377,4,2,23080770
1970,23251064,17,1,42978476
1987,56962008,18,0,63918442
1975,55426866,18,0,21546916
1970,47019867,0,0,45192301
1989,13512693,8,2,84588243
1996,63892112,10,9,80460594
1977,79455251,1,10,36170069
1983,20920279,19,1,46041781
1963,54325628,3,7,33379456
2014,12399869,8,2,38882043
2010,66105606,9,3,17607423
1965,93262924,18,8,38717078
1984,90456023,14,4,46355755
1990,41216453,15,9,86861214
1989,80004446,8,10,63723307
2012,88563244,9,4,26632976
2016,49706766,0,0,78310349
1995,11975124,17,1,45979790
1985,45121966,11,4,95121059
1970,85529797,9,1,78310349
1972,58697789,1,10,40333704
1979,51545120,10,4,51162185
1982,72064820,17,9,77916151
1988,65298956,10,3,87942869
1994,13890713,19,7,32544267
2013,64011421,0,10,63723307
1962,39650918,0,10,77916151
1964,30582736,5,5,57978856
1990,34890580,2,5,87942869
2005,28766170,17,2,22710362
2005,88927075,6,0,37731882
1969,93787326,15,2,30903956
1983,36037663,19,8,50181090
2015,68467685,0,5,38882043
2007,76733905,19,2,11839541
2014,34422211,10,3,43702709
1979,59223812,19,6,33379456
1990,58175872,12,5,31815155
1986,77894035,14,9,73162963
1971,37840049,11,10,31815155
1992,78662808,16,4,71567046
2012,78831824,16,5,62093547
1964,25136108,0,2,90080123
1992,18007044,1,4,32544267
1983,24052660,4,4,58752944
2014,92125415,17,9,79789984
1966,20011175,10,6,43576406
1961,11625426,8,3,15968194
2001,44765825,12,5,20761150
2019,37833440,0,3,40193383
2024,21068373,9,5,92109614
1992,22821413,8,6,43086842
1994,61212135,13,9,14080813
1967,84341010,15,10,83680332
1973,46835119,3,8,64357240
2017,43503926,19,4,21220643
1977,30985584,5,6,83774465
1965,39854699,9,10,38726533
1980,70701954,8,9,58752944
1969,90495126,17,10,69272203
2019,15987117,3,9,85683622
1996,33858113,8,3,45979790
1976,30150396,0,3,70467839
1980,53128529,14,0,83774465
2015,38263859,8,5,48431358
1996,12996387,7,8,26632976
1976,80894253,6,2,95121059
1962,16597498,14,8,45192301
1982,95637004,19,10,97535169
2017,94109798,3,6,43123434
2011,37489253,10,7,21907808
2002,31441895,15,3,22710362
2020,51721722,9,5,40193383
2013,29478543,19,1,62093547
2008,60017577,12,4,92109614
1993,12996387,3,4,16469400
1975,51910936,10,0,97935480
1989,60326191,1,10,57447283
2011,45668035,7,6,83772726
1993,93850715,6,0,45979790
2022,83345576,6,7,79789984
2018,90828436,13,3,38726533
1965,51611940,9,10,84284834
2020,29071351,6,4,40193383
1999,89664268,19,7,43702709
2018,59792843,17,3,80815046
2014,35820104,18,9,45192301
2017,74404936,0,7,14080813
2007,38265938,10,2,36170069
1966,88162626,12,5,84175321
2016,87619840,13,7,84065326
1994,32673825,13,10,33379456
1970,64431366,2,8,51162185
1960,70986470,1,10,21316535
1982,59151337,8,6,21546916
1963,87445391,13,5,97935480
1976,22286557,5,2,78150502
2019,70647141,9,10,31815155
1987,94966477,12,4,37460711
1969,35965217,6,8,57447283
2016,14878197,11,8,20761150
1988,12183952,1,0,40333704
1989,54440064,9,2,24875024
2000,34637495,3,4,78548630
1975,47302587,9,3,46041781
1960,94678945,2,1,36201211
2016,13759352,7,5,85683622
1963,77198730,18,3,36170069
1964,71517377,19,8,46706772
2017,85263722,0,7,57978856
1963,54718054,2,2,95541655
1962,23598632,18,10,17607423
1975,48501656,1,7,77257073
1976,16047350,5,9,87942869
1967,43364007,2,6,90620509
2018,43659395,13,8,53880888
2020,75666163,17,7,33379456
1985,21821299,2,9,37460711
2011,66834113,19,2,69272203
2019,52845383,5,2,38726533
2010,81511551,3,0,33379456
1999,16407341,17,8,32544267
2002,35039272,8,9,83772726
2016,14186848,5,5,38726533
2024,51278040,13,7,80815046
1961,50617545,7,6,43702709
1987,77326240,1,1,23897976
1973,89994607,3,10,26632976
1960,17810939,14,10,46355755
1968,63256370,15,4,90620509
2022,93344454,5,1,14561697
1993,34692863,7,8,85683622
2000,12732128,11,0,43702709
2012,78306815,17,1,58128734
1978,67505524,2,10,58752944
1970,36089104,3,2,90080123
1985,51449515,4,0,37460711
1964,87287927,9,4,68124756
1971,60976901,12,9,84284834
2021,35950682,7,9,95121059
2007,29469161,16,9,83774465
2004,30890198,14,6,30903956
1970,83277591,2,10,85683622
2012,35383696,9,8,92109614
2007,67669307,10,7,29558820
1996,36944440,7,1,38882043
1968,20596009,1,8,70467839
1964,19024433,8,0,35116117
2007,15821523,10,8,26460618
1997,44555731,10,4,31458754
2001,22543180,7,9,73302006
2017,90995282,3,8,89845053
1962,28952334,18,3,83680332
1995,27904696,18,3,73162963
1999,50605559,19,1,80460594
2018,50556070,12,10,21220643
2014,98897441,17,0,38726533
2010,95343682,9,5,43576406
1992,60862862,1,8,70467839
1989,39888916,3,8,78548630
2022,36974583,1,9,19373250
2012,85264987,17,2,84630356
1990,98421328,15,6,97535169
1991,68705281,0,6,84284834
