year,alumno_dni,sede_id,grado_id,secretario_dni
2011,96596083,146,1,38021595
2024,18026447,140,9,83347036
2019,79869428,12,7,58705212
1997,67721449,146,2,94471700
1972,37294991,195,3,37113906
1967,53351397,173,9,91438031
2011,73684737,105,5,75039154
1971,49095855,17,6,71595409
1987,25197641,83,1,86592869
1974,14770584,52,6,71182863
2003,17402526,43,2,23859678
1974,15047919,165,6,13399830
2002,52949132,107,3,58844614
2003,18605787,119,7,38524413
1965,73394923,92,0,98985680
1981,62001390,109,7,94769623
1997,48366413,15,6,32429104
1986,37451815,73,7,87980723
2014,14539592,72,10,89248889
1972,89213742,38,5,63018266
2024,90151255,101,10,88061165
1982,32449830,57,6,32943230
1976,20044963,192,4,68167309
1971,14525654,27,5,94454462
1992,66866984,168,7,58918011
1997,21842472,176,6,61855668
1988,53074207,72,10,11083659
2003,83506850,91,6,86773754
2004,71496753,184,4,66084668
2024,79173346,87,9,67050963
1975,98481724,128,1,73537271
2002,47323658,81,3,83181658
2023,14188948,121,4,32708049
2017,55076359,155,10,82073674
2011,29269647,130,4,83588905
1999,20597143,72,3,44879003
1971,34735590,31,5,73275475
2021,89753404,16,5,38524413
1983,64677820,29,9,64106006
1985,78523636,173,2,79822267
1978,61889308,64,8,30047662
2006,46033861,143,2,43115806
2019,59418286,148,4,13305710
2020,22911346,107,4,87257215
1996,51342133,158,4,11160108
1972,56372198,74,9,60189408
2014,84351791,192,10,32936755
1972,47427809,34,7,36238590
2011,62941653,102,7,17458337
1974,95350710,18,5,31400363
1965,34709823,4,7,81608868
2001,34293204,151,8,31186059
1988,43263044,184,1,59418083
1988,54100062,54,2,60301971
1973,87891750,75,10,82671860
1974,62868987,104,1,24890345
1960,96201674,74,3,52374832
1970,74404857,129,7,39960340
1983,40607974,178,8,87819537
2020,58482592,184,4,95889804
1979,95203339,102,8,89248889
2024,85851969,197,3,99608590
1983,10670823,106,10,47933164
1964,17292736,55,1,88313839
2010,75638010,53,2,82671860
1968,25637002,9,6,58844614
2011,79781023,139,7,38954823
2000,95102845,182,6,17432689
1982,60383546,196,3,57516300
2021,69472168,188,9,78417968
1997,73354816,117,5,92197528
2023,71836230,90,5,10920919
1994,27624290,82,0,24387561
1979,18240494,139,9,75394698
2022,84816326,122,1,51134560
1986,42982235,148,2,97722108
2001,98610048,63,4,35987953
2003,67696011,118,2,47640483
2004,37871092,55,3,42302132
1975,13491346,171,9,43487505
1982,59488632,46,8,40189318
1982,49775647,123,10,54929289
1980,28998712,4,8,82674404
2017,67745630,127,1,17305331
2019,59077965,49,2,11925091
1962,16419110,20,5,86508950
2022,15628422,199,9,24111231
2019,92414805,50,6,44977475
1963,11719754,34,0,25811907
2020,12326979,63,7,13636480
1977,69550681,32,7,86592869
2011,91159253,140,8,23859678
2022,82641292,19,8,33840591
2014,34118080,13,3,97067753
2009,68275350,24,7,70745568
1986,79925017,136,3,10944125
2022,64078158,39,1,16345763
1968,84725030,134,4,54079073
1966,28353214,65,6,40189318
1978,57813109,113,3,10410016
2017,65207430,109,2,42969371
2015,64473404,155,5,60141543
1985,80498821,190,5,57111623
1975,41578131,103,2,70650299
2024,44047812,176,1,29864736
1971,53012550,140,7,49422927
1986,12177421,57,3,84315412
2006,26782644,146,0,20893747
1978,44665989,155,2,47485136
1976,57377014,118,0,24915662
1978,10415630,52,0,47485136
1996,32874372,170,5,80164472
1972,44661595,116,6,84315412
1984,30512231,184,7,93860587
2021,92791920,149,4,14021068
2024,95203191,82,2,55886171
2023,57979206,6,9,29007504
2002,14106133,93,5,41748210
2022,94289539,157,0,92174886
1998,34967826,98,5,72544992
2003,51033885,99,5,41129971
2012,21742328,130,8,86546792
1967,29975336,19,3,96849203
1978,87761667,139,0,47990544
2015,15713802,155,3,48301295
1967,77474802,128,9,99012873
1982,85820567,190,6,60189408
1976,63948973,37,9,99214289
2007,57205964,150,8,86758871
1989,12208394,110,9,64174855
1987,81020657,50,5,46293567
2009,22252464,191,3,95393861
1969,39511057,84,2,84510670
1990,15058649,105,9,60218974
2001,73104381,151,1,83363509
1972,31840936,159,4,86771244
1991,53511872,40,10,42969371
2020,60505494,74,10,80686857
1998,50430777,88,3,76164293
1979,48204080,5,1,11530093
2011,25263763,14,1,57534363
2000,94804875,172,5,14029037
1966,92486278,54,4,52431704
1992,33150105,26,9,91948687
1972,54875566,56,4,27599343
1982,88150487,155,5,97727084
1998,93302733,119,6,78417968
1971,64401752,131,2,68095469
2008,97836018,5,3,82671860
1975,10506986,90,9,55472894
1961,95338349,22,8,81734757
2020,28471418,131,7,53231018
2005,69033540,115,3,61867250
2004,78269491,26,6,41651365
1967,86570637,157,1,36713997
1969,38458230,56,9,83163099
1962,51713381,151,1,28299555
1967,64278412,38,10,17358546
2019,90868080,196,6,17305331
2019,41096359,113,10,94179665
2016,36385955,46,2,76131323
1968,46284634,75,8,22416112
1984,83463285,146,9,82106455
1992,17762568,61,7,34136247
1997,96988630,42,7,31771009
1992,74179211,174,0,58458356
2007,82083059,117,7,33813653
1982,88498268,186,1,86592869
1962,58894693,197,7,55744815
1961,10867544,71,0,20933961
1986,77012331,88,5,50819699
1974,37220872,130,4,84251318
1999,83080112,164,3,23953476
1997,52696892,128,6,72438704
1989,46184466,64,9,54929289
1968,74239602,62,5,67423111
1966,65284030,40,0,51165190
2007,52811637,102,0,30562827
1976,51927422,172,0,67423111
1961,36147020,26,6,87819537
1977,24186639,102,10,86753553
2004,46884805,133,6,65367513
1988,80457052,57,8,92197528
1974,33074946,82,10,24621087
1991,36091088,3,0,81501221
1977,94601430,147,8,74074688
2011,82596098,119,0,93261216
1991,73026804,133,6,83499275
2022,26612738,29,7,76724285
2024,24359372,81,8,87026479
1962,16993695,2,3,56158727
2001,18662577,45,6,87980723
2016,43532825,174,6,42302132
1984,40681525,24,3,69213603
2018,41414860,61,10,71829379
1960,21396413,121,0,54143991
2012,34575595,142,3,61612990
1961,65072356,164,8,83551583
2007,81931783,127,5,58458356
2019,75823386,15,0,22871055
1963,49554843,173,4,63553885
1993,19985398,199,9,75017129
1980,53248673,4,6,16886953
1972,31816187,180,6,75838923
2013,56592431,114,4,41904749
1973,45123331,71,3,40513649
1991,11756518,47,7,30639393
2018,54284692,40,5,64749612
1997,65185768,83,10,87578331
2014,33195912,179,10,37306426
2005,87071699,116,1,22919089
2001,10473257,146,0,29885609
1995,31062966,198,6,71494642
2017,70747956,84,1,30159896
2019,61554562,44,6,13287042
2024,32596293,136,0,77931047
1980,59810067,108,1,11556887
1993,96127854,27,6,31814812
2003,76813280,135,7,97011519
1984,46134806,47,6,23877949
2006,74192667,15,2,62413172
1977,86503577,147,2,22641869
1981,10446115,188,4,94822932
1999,96089834,106,0,88158887
2016,46488984,179,1,12518703
1996,28031924,162,9,36002137
1962,59026693,8,10,62342514
1996,27081469,169,5,55577615
1967,50433420,87,7,78304320
2010,61924930,40,7,11950053
2018,73210568,23,1,91172509
1997,92256436,59,0,87797325
2006,40185076,148,2,31814812
1962,89142292,100,6,23877949
1978,11606752,119,3,52851945
1960,22724661,9,1,67050963
1961,12521140,155,3,69071511
1981,87933886,175,0,71424083
1993,93871758,119,9,37293642
1994,59689779,31,3,27884174
1993,35440159,109,6,16464756
2010,38698091,56,3,78225813
1997,51196090,94,9,72870578
1995,19750366,58,8,68733972
1971,51017903,87,7,99981171
2016,94066447,36,2,94881708
1994,49200837,170,4,54225925
2016,71235943,8,4,74356133
2023,56258917,168,10,90753720
1996,75158017,40,8,99940907
2016,99799103,33,7,93261216
1989,42539233,64,6,74746598
2009,16842559,50,8,84710154
1996,40461466,135,6,56121671
2008,97035758,129,5,67805239
1983,84244295,128,1,92222401
1993,95873375,25,5,83163099
1970,30256998,123,7,94068063
1983,45331715,61,3,45757972
1976,14280798,13,4,27744859
2001,18561071,96,7,10522482
2004,38789138,12,3,53149841
1970,29500466,182,4,65367513
1981,11475556,54,10,66933986
1975,45939170,83,1,39316383
1961,70006196,34,8,37256066
1993,72604465,9,7,77719997
1988,76158052,198,5,12565446
1978,39883059,106,2,19296199
1963,20388286,62,0,92197528
1968,57364633,69,2,67544528
1993,46051986,26,5,48555082
1979,52182243,57,0,83363509
1983,93102180,77,7,64673067
2006,51153313,28,2,45595422
2006,37032591,187,2,44879003
2010,33253163,166,9,49422927
1989,34126530,92,3,60636217
1997,68184904,46,7,65473211
1977,14773343,154,8,73537271
1971,21093855,197,9,39864873
1990,62862433,125,3,57853117
2010,54114817,60,0,60447587
2017,62834192,73,2,30759161
2015,93953020,83,6,71182863
1970,64165758,73,8,52268876
1976,91468011,30,7,53755670
2012,16231958,117,6,45595422
2022,89621300,46,3,21991230
1981,90959550,163,7,79258337
1965,67017626,179,9,39165631
2010,42304173,172,7,65807457
1984,55403220,142,7,28759947
2014,89364577,131,8,58281350
1964,17661900,71,3,24890345
2023,74351134,102,1,36628428
2023,31761974,29,0,10324368
2019,91443673,40,4,47005728
2017,90558851,137,5,77181593
2002,45675240,60,3,62730490
1978,55932112,115,2,90486723
2018,42485624,38,3,59562277
2002,56258917,91,9,11083659
1965,24001249,83,10,19871871
2007,34596571,157,0,68733972
1967,56018627,177,1,84875379
2013,38299106,69,7,83450049
1976,91920090,48,8,12502251
1967,24036671,120,3,95809121
1986,84617819,4,7,75567741
1986,26065456,59,8,12152044
1962,93779818,145,9,67805239
1998,63315362,43,8,93119592
2019,42103728,134,7,97026441
1978,80465170,4,1,29434873
1970,29225319,172,8,30759161
2009,97748754,47,10,50639816
1968,61654220,93,5,43471044
2012,74093289,147,1,76387211
1994,55268857,58,7,38145254
2002,98604439,150,5,40526545
1987,62621925,168,7,19431825
1990,77371645,160,7,19909746
1980,84640709,33,0,48271373
2012,41791519,141,3,91172509
2008,55722435,111,3,68847646
1976,50764473,159,3,27259027
1968,10107216,35,0,56377526
2014,31493453,87,1,29358527
2003,94914552,156,3,44330788
1991,19607938,173,5,44034866
1966,11384337,187,2,45295375
1999,41053892,29,7,73645032
2008,62018176,66,3,51691002
1994,84427776,5,1,51519521
1968,29010734,128,5,10593552
1964,79323075,0,0,45757972
1991,21323386,39,0,97165450
1995,72489237,4,4,81316860
1969,50087750,110,0,92197528
1979,34552659,65,3,47503175
1984,45716304,137,4,31124627
2002,37889658,176,1,18085527
1984,93299302,169,8,94763508
2022,12715387,156,0,47414931
1962,12498075,94,2,82674404
1969,27197471,62,10,93104169
2000,12196024,31,6,29090752
2011,13302406,156,5,11392166
1983,55291858,177,2,55886171
1976,83229537,93,8,16504684
1967,93833888,144,8,95798840
1990,28506983,56,5,24387561
1999,82846930,80,2,26400726
1974,42099913,176,1,16345763
2012,28405381,77,1,98985680
1986,51882141,194,4,30877461
2018,48417271,154,6,39406337
2005,75154597,12,8,29358527
1997,71734642,12,4,37980143
2017,43990128,134,6,43612293
1985,15547472,83,4,61215201
2000,42273566,163,9,99981171
2002,30444873,60,7,56804921
2004,31054766,12,4,55927559
2015,93808328,152,10,39377480
2021,40152100,31,5,92173604
1980,44231988,24,9,86333340
1999,16892627,80,8,33031955
2018,75876336,115,8,26451302
1970,94102011,171,9,48555082
1969,94938695,165,9,37306426
1993,63595693,0,9,21796434
1967,85186621,178,6,10593552
2002,12894138,121,5,82689694
1996,29425594,95,10,53863485
2020,41627111,86,4,61399382
1972,53772990,91,1,99979983
2013,31688502,24,9,94512557
2017,65905288,171,10,27875521
1977,48113749,109,9,66719483
1960,58855371,52,4,75567741
1969,56164532,115,6,78304320
2009,22295407,129,0,92758870
1992,87850866,76,9,47933164
1999,72495548,112,7,89246767
1980,39648721,114,6,36982788
1977,11687160,122,7,59567498
1973,17997139,25,0,31119668
1998,21084857,20,3,86700604
1962,64377091,109,7,15970181
1979,96650483,5,0,11753440
2007,19458497,178,8,51519521
2007,14545046,146,6,45757972
1996,59033286,141,3,64743179
1983,64608400,186,1,56945147
1974,22623266,111,7,61477321
1991,18405375,199,6,20350969
1963,93782566,111,6,73645032
1978,53736825,99,4,65804627
1970,51457598,174,7,88145182
1985,69925292,53,7,13632955
1978,30854594,126,3,47779058
1977,18784899,76,7,59920014
1986,58440691,197,8,31117500
1979,10700185,14,9,17071800
1989,41265190,28,4,93860587
1995,64995786,153,0,86505965
1990,27667234,32,8,38339745
1984,42560122,156,0,14155931
2014,25682862,83,9,97562785
1971,36749172,31,6,56804921
2018,82015853,192,9,14485659
2023,41841828,19,0,92480779
2003,88765359,116,1,37762916
1982,64265550,103,3,68497405
2012,45566297,183,3,11873464
1965,14477571,76,4,58974527
2006,69745063,50,7,59134852
2004,77912766,98,3,14891736
2012,68277587,134,9,19003966
1979,36749172,139,8,27011433
1975,36059032,66,7,24111231
2006,50412053,147,9,82157982
2009,57798530,188,10,30812829
2003,15228283,3,8,86753553
1999,64599661,180,7,60200850
1985,85521655,95,4,47171602
1975,97803941,85,5,35347049
2002,75331307,75,1,66723609
1967,87386338,120,8,90273220
1962,31104228,162,6,36982788
2005,44496072,81,3,76743066
1995,46495367,78,10,69882415
1961,42924206,77,6,99860743
2024,75494520,68,3,47852413
1984,91650408,197,10,12502251
2024,89365371,112,8,13800456
1974,16488259,69,6,66933986
1992,96823202,194,7,80457514
2023,75522527,8,1,57752057
1986,41285166,25,7,37047632
1983,33673792,106,2,11612090
1981,34642462,97,7,41508122
1997,73966833,135,6,40679129
1981,97226309,84,1,71494642
1972,86050306,38,1,65817641
1989,56011512,0,9,97722108
1991,89277059,25,10,95967337
1990,43018578,182,2,21073352
1985,74614710,128,5,62996686
1991,10044713,53,6,30169984
1964,75483525,155,5,92929247
1976,38999384,139,8,34864026
2004,60361304,123,1,84145713
1977,62134232,195,3,70126464
1999,61218934,165,2,55002972
2012,23907802,122,8,20933961
2011,30784904,114,3,95951080
1977,44830803,183,9,76234106
1987,55535050,133,1,44619262
2021,89534136,151,3,39696182
1996,95272416,21,2,60593752
1960,19184850,17,9,36062994
2018,43495584,96,10,39377480
1993,48818973,193,1,64797039
1979,54610853,115,4,42442783
2023,40314776,20,2,50819699
1993,79960044,198,8,70655389
2003,69803690,137,1,90498497
1984,77619895,79,9,65655113
1994,61970402,70,4,49888021
2023,13012190,139,3,86439609
2018,91477890,42,7,91948687
2013,54282386,102,10,27932477
1971,68759438,103,1,14985144
2011,31331408,80,2,19296199
2020,42690650,121,1,36002137
1972,23010018,127,4,78562518
1992,31452350,166,2,20860464
1985,28452796,75,10,98849469
1967,46906757,97,10,43887249
1997,38132884,109,5,80947643
2008,60042540,60,6,80096798
2002,68579167,194,1,84251318
1992,47606676,181,7,73308343
2014,68363166,129,8,59374270
1980,63357333,177,5,49788205
1990,17143177,157,8,42969371
1996,96275565,151,3,93602010
1990,46205303,159,10,32423210
1994,39318553,177,10,68082773
2001,43356281,49,9,83121174
1996,61350667,18,3,14706732
1992,65284983,136,6,55002972
1970,20506390,13,8,97005730
1984,42834652,27,10,46035118
1961,15471913,194,5,10937527
1987,29682137,135,2,16305608
2017,35687334,55,3,34373251
1977,26441244,118,0,92727271
2000,91482409,43,3,55744815
1974,68434288,60,4,40189318
1960,90936256,72,3,66925013
1994,78913316,120,6,89003613
1998,79132691,184,6,20109378
1965,83822108,99,8,89246767
1984,51962225,144,5,95967337
1987,71097064,161,7,35185059
1999,96480641,117,3,56413753
2014,56481666,103,0,49888021
2020,28889575,170,2,70237561
2019,62798485,75,2,37310816
1968,59072432,145,6,22367015
1977,93062797,86,0,70237561
1967,65318336,57,5,10439236
2012,58213322,177,10,12518703
1965,65379723,171,4,94758983
1978,71101596,46,8,61054329
1986,64567081,141,9,94960546
1977,14377780,37,10,78781150
1981,10841726,196,9,73882436
1979,27865863,169,6,41900187
2005,45142617,71,3,22858177
2022,45334651,4,8,86508950
1990,32586787,59,6,41508122
2002,33318716,76,4,84510670
1989,27275074,80,3,83793410
2017,36600189,198,6,94471700
1982,79856838,3,0,29206980
1983,27277638,192,10,61761488
1985,13614674,37,2,28299555
2002,49556842,193,9,32021157
1976,23082169,133,0,71864099
1980,79780389,90,6,78304320
1970,60654945,85,1,14706732
2017,20690663,114,0,51259133
1969,34334534,120,8,53149841
1983,72185882,13,8,10246663
2017,12447072,132,6,40679129
1967,24793228,176,6,62889235
2016,50679124,108,7,83499275
1979,58596795,48,5,96849203
2015,69100620,175,7,68066069
1962,10670988,157,3,44879003
1990,72375194,174,2,46584299
2002,38454828,79,5,47428472
1990,19864656,78,5,49960482
1984,19609716,133,3,40925318
2010,30277318,122,0,54660024
2018,91037184,121,2,97794913
2019,20683685,155,7,18085527
2023,83696729,176,1,15625322
2018,82861530,91,3,86873452
1993,33557726,120,8,99608590
1996,72669126,58,10,71239140
2018,11126531,67,2,19871871
1964,67149001,174,7,39696182
1964,31493453,168,5,27599343
2011,65994286,158,9,13002185
1970,38285428,89,9,54143991
2023,67958843,87,7,84579251
1992,74641743,195,6,81984171
2002,36448153,130,3,29225838
2004,43131689,155,2,78225813
2007,25105210,195,3,61855668
2013,50228014,162,7,75357054
1996,64018454,103,0,30159896
1988,75510644,178,10,11556887
1983,93947105,61,4,66925013
2015,20081450,195,4,22367015
1967,99144677,41,3,48490595
2001,69339155,21,10,49663381
1963,81458036,67,7,87538637
1964,30454440,3,3,35347049
2012,48592746,48,5,74356133
1991,52856938,131,0,13546477
1963,36073969,91,0,79073269
1971,96934767,126,6,31543294
1961,20897229,99,3,98676762
2003,80539858,159,2,47647634
1989,46422186,113,5,65706602
1996,65430080,40,9,86592869
2018,47961160,51,8,68066069
1980,39421358,140,6,96849203
2019,40942146,89,8,83163099
1975,20374290,167,7,68296015
2019,37503159,88,7,92174886
2012,44279422,28,1,18922476
1974,70254172,60,3,41052046
1976,27105827,61,1,92545338
1981,13411102,182,4,46598815
2011,25721489,195,8,65817641
2024,10300201,87,10,67423111
1993,85734913,29,1,74354094
2015,65683205,22,8,34481372
1969,10662033,186,3,51430985
2008,25193620,10,7,90156771
1979,44428466,141,4,43801681
1998,97029449,150,9,82073674
2012,54328910,154,6,85406991
1988,17934547,13,9,64743179
2004,93541397,92,2,86505965
1991,12167350,129,6,97067753
2020,54750795,199,2,78248095
2004,83907184,115,8,55002972
2016,69742671,149,5,94758983
2009,73701398,121,9,93513010
2021,21357881,106,7,42096130
2013,20299031,197,10,28299555
1997,30718780,9,6,63381940
1961,79562449,127,0,11626060
1993,52315678,146,5,14308110
1997,87426577,62,2,83551583
2018,31988123,128,7,92173604
2008,51841391,188,6,10679097
2006,95872260,149,7,26400726
1965,60579372,113,1,45757972
2007,39633362,148,2,91447181
1988,25816132,182,2,51748383
1967,12206454,14,4,54324782
1982,28270288,17,1,47503175
2018,24389601,65,9,64670862
1974,43295202,169,5,96157298
1971,42438684,175,9,55810401
