dni,nombre_seccion,sede_id,apoderado_dni
64658189,HoneyDew,2,61472496
14068152,MintCream,3,46948792
42706669,PaleGoldenRod,0,46054231
14847485,LightPink,11,90740872
82829624,MintCream,10,96971384
15004444,Tan,15,38476839
74306290,Orange,5,83290689
16067886,LimeGreen,11,42631731
88839575,Aqua,17,74531871
78873392,SeaShell,0,92284154
92986303,LightSalmon,19,36880916
14726550,Fuchsia,11,41253699
17606968,LightSalmon,8,50861719
89057720,HoneyDew,2,18686324
67816753,PapayaWhip,5,49793497
63792315,MediumBlue,4,43344789
26461686,AliceBlue,9,32958112
32458358,Navy,7,72395878
75373548,SlateBlue,10,72134432
92095720,FireBrick,15,16915317
89155036,Thistle,11,55917882
27233004,Coral,10,25707845
49667756,DarkBlue,18,14760307
50817165,DarkOliveGreen,10,17175399
45802142,OliveDrab,11,60276365
43057851,Magenta,8,53396416
22795730,Azure,12,89898663
15610868,Chocolate,19,99882528
11535229,Gainsboro,1,47897555
22298813,LightSteelBlue,10,11534458
12744698,Linen,14,75606784
85152284,Khaki,6,15883105
50781530,Snow,16,43883603
52825106,Tomato,16,74131183
29244843,CornflowerBlue,0,63649770
94259752,HotPink,6,48628163
70427740,Wheat,13,14685634
37454054,LightSteelBlue,5,87321347
63017082,WhiteSmoke,16,18476917
94586863,ForestGreen,19,52764552
12787664,AliceBlue,17,41272196
46758295,PaleTurquoise,16,40890603
85905752,DarkCyan,6,36760309
84710609,ForestGreen,4,46911698
12087699,PowderBlue,3,31682090
33074564,LightCoral,3,59880362
76915953,Gold,11,61472496
33607114,Salmon,13,93282525
15507301,RosyBrown,12,56865275
69542300,Blue,6,38279739
46780775,LightSteelBlue,10,39947024
77912591,CornflowerBlue,0,76830907
20759864,HoneyDew,2,95640927
84164365,Gainsboro,16,70142300
68438179,Chartreuse,12,75205749
58581040,LightSteelBlue,10,54792248
82355650,MediumSpringGreen,5,21824725
46300763,LightBlue,1,33261129
48312121,Gainsboro,19,43160974
95300754,DarkGoldenRod,9,62879363
16418678,Blue,4,75189623
99150039,SlateBlue,10,36068180
12077995,GoldenRod,5,13740983
11999820,MintCream,1,94582156
34190505,DarkCyan,11,31579007
10894390,AliceBlue,3,64001139
41647961,GoldenRod,18,26630954
37948119,Crimson,4,11046754
72579244,Linen,18,64532119
95488491,SandyBrown,1,37352186
75818981,MediumBlue,8,65153627
98573569,OrangeRed,8,91609919
66198551,Gainsboro,16,74030023
93281632,Chocolate,4,71335835
99940112,LightPink,8,36973786
92673524,DarkViolet,11,75967314
66294690,Gray,2,10001191
61410111,DarkSlateGray,12,69608226
21639923,Thistle,14,44223202
86984609,OrangeRed,8,47079160
55937543,YellowGreen,9,43410336
17022164,CadetBlue,7,63531701
63281407,SandyBrown,5,21648783
17085575,MintCream,10,25713069
49389692,Crimson,4,80530612
50625072,Blue,4,94576164
37241085,HoneyDew,2,14259618
83378627,SteelBlue,18,32427053
97851935,MediumSeaGreen,6,84303773
36754053,LightSalmon,3,94011913
86200258,Magenta,4,40957106
30340795,MediumSeaGreen,6,42617513
72769525,DarkSlateBlue,14,68222310
37663879,LightSkyBlue,12,55130716
37340002,Orchid,7,32096477
39480742,Wheat,15,96088269
41657928,SandyBrown,5,78154312
82640740,Navy,7,31061682
32689944,DarkBlue,18,10057176
61401138,FireBrick,15,55486633
59207442,DarkCyan,6,23345785
12258899,SeaShell,8,56886298
65293874,DimGray,14,53434321
64913929,RosyBrown,5,10439934
68639747,AliceBlue,9,12890843
87051120,Tan,15,41654190
83791602,SlateGray,18,21792003
12184352,LightYellow,8,67169188
64729464,DarkViolet,3,39947024
45096362,DarkViolet,2,57772261
60601848,LightSalmon,4,12710517
44958630,Purple,7,46614972
52241997,BlueViolet,19,23139143
34490237,HoneyDew,2,42215467
85187576,CornflowerBlue,15,33613261
67294249,MediumAquaMarine,3,14068351
72673483,LightSalmon,8,80369660
62567165,DarkMagenta,10,85979807
55085611,DarkTurquoise,14,95394400
33803496,PapayaWhip,4,64805144
23670010,LimeGreen,8,98393864
44529265,DarkSlateGray,12,51026512
63005820,Azure,13,91132503
24299909,LightPink,8,27085000
75599625,LightBlue,6,81910599
63072880,Peru,13,25969402
60975525,LightSlateGray,3,39074783
94053221,OrangeRed,15,26499961
39649614,PaleTurquoise,4,22640665
64342466,SaddleBrown,10,38680346
64886978,DarkViolet,2,56273253
88671414,DarkMagenta,12,69228766
25436207,Red,1,26098279
95229938,LightGray,9,76287655
66509929,ForestGreen,13,36277616
15328808,LavenderBlush,14,34550416
72438300,LightYellow,8,46051940
14302609,RosyBrown,16,47047490
12678028,SandyBrown,12,34737138
76338600,LightSeaGreen,14,63855422
60786872,Turquoise,0,30046789
75462919,GoldenRod,5,92715887
60356899,Cyan,12,58734488
78071861,DarkSalmon,19,73668942
52057148,MediumSeaGreen,1,82689632
45527755,LightBlue,15,29040400
73057325,MediumSlateBlue,0,87150594
76741132,FireBrick,1,85473574
83060284,GoldenRod,2,32169107
56479338,Gray,10,48806818
25352845,GoldenRod,2,37332650
62981578,PowderBlue,3,28831181
51962178,LightSteelBlue,5,88642207
41606606,Orange,5,43722456
14010058,LightSlateGray,7,45500074
89304061,Wheat,13,37435834
86227458,Wheat,9,65129884
60184211,Azure,12,11607013
81247463,LavenderBlush,3,59354784
25141528,LavenderBlush,16,68653914
21006746,Olive,17,36177896
19935456,DarkCyan,11,86986110
10693923,DarkOliveGreen,10,87627825
60383635,ForestGreen,13,34190345
67403129,LightGreen,1,10474247
58441388,WhiteSmoke,16,73838034
60517534,Chartreuse,12,89729164
56965120,NavajoWhite,8,31206316
87452878,Gainsboro,16,96419198
51794577,Coral,18,54831327
97141395,LightGreen,15,87887968
26819255,GoldenRod,18,74372295
57449694,CadetBlue,7,62797506
73361267,PaleGreen,14,60057148
72217762,Bisque,10,87992336
10118474,Khaki,11,29187771
52460754,Chartreuse,12,89816626
48051306,CornflowerBlue,0,60813263
69712920,Cyan,12,96088269
88368843,Gainsboro,1,32876270
35787253,MintCream,18,58932870
98700893,IndianRed,18,24943410
66403164,HoneyDew,2,65930839
69032314,Cyan,11,63090850
13616172,OldLace,4,36901402
47922502,MediumBlue,16,50569958
45206464,FireBrick,1,15650498
96159585,Thistle,8,60539109
32731194,DarkMagenta,10,20548741
43856676,RosyBrown,15,58745528
11514247,Salmon,7,69136662
50128327,PaleGreen,14,54874752
35850498,RosyBrown,4,90216795
30687985,Black,9,58114931
13827700,LemonChiffon,19,20333365
14005838,LightGreen,1,62879363
66178243,LightGreen,15,88371689
55033438,OrangeRed,5,77267999
35036574,Chartreuse,14,82348375
43710962,Aqua,1,63541776
33161178,Wheat,12,22968146
21568787,DeepSkyBlue,10,46351287
83156326,Coral,13,31161481
81423231,DimGray,7,11866020
92281249,Red,12,96118813
89119446,Plum,15,58759314
89680956,LavenderBlush,3,40823743
77856439,Bisque,10,98247502
36048950,SlateBlue,12,98025626
36009138,Fuchsia,11,47398264
63156882,OliveDrab,10,78404179
80686257,DarkTurquoise,15,98314954
16414679,Coral,13,20599224
27746514,PowderBlue,3,46113829
63768599,LightSkyBlue,12,62467442
29596939,DarkMagenta,12,95320656
21677186,MediumAquaMarine,2,92356744
58550858,LightGreen,15,59030130
14013703,Tomato,19,93240935
75023424,FireBrick,9,76668849
48202279,OliveDrab,11,98542052
29700679,Green,15,28580326
67186927,HoneyDew,2,99731045
63676323,OrangeRed,5,59634927
22674981,Fuchsia,11,76098193
96659684,DarkSalmon,19,94295946
75803932,PaleTurquoise,4,43066865
31590100,DarkOrchid,19,29313426
19589493,YellowGreen,19,74321736
53561825,LightGreen,1,24546977
99692597,Chocolate,19,20962605
44995389,MintCream,1,97709123
35072929,GoldenRod,18,53934629
17614737,Tan,15,34550416
95660225,MediumBlue,16,19163263
67154763,Wheat,15,22701785
67041305,DarkSlateGray,7,19981200
35168013,MediumAquaMarine,2,97413242
11195287,OliveDrab,10,93275501
15145706,MediumVioletRed,17,24696909
47669959,BurlyWood,3,12242098
81725815,Tan,7,11866020
16062706,Orange,5,93843537
50876663,CornflowerBlue,15,64999013
42789464,CornflowerBlue,15,18990543
46369663,Magenta,4,83133692
58937123,PowderBlue,3,47729617
55797250,PapayaWhip,5,79576603
67778774,ForestGreen,4,99694125
69421146,Magenta,4,73751553
91050670,MediumBlue,17,90259652
82689558,DarkViolet,3,20858309
19270731,MintCream,3,58754953
98631922,OliveDrab,11,72261610
66398536,Azure,12,45570553
17502630,Lavender,8,90231921
88519724,Gold,4,17752621
81204066,LightSteelBlue,6,12837538
52038001,Gray,2,24151515
93626656,SeaShell,9,32096477
89273411,Blue,6,43427268
39953220,CornflowerBlue,0,88813358
82982629,RosyBrown,16,68597754
58240615,Wheat,15,62353006
85470565,DarkMagenta,12,32767923
56955370,Coral,8,60836046
84410998,LightSalmon,19,88703721
73939595,HoneyDew,16,13134169
28833935,Gold,17,34290011
17563788,LavenderBlush,14,38298715
52265388,Pink,3,90123815
36149784,DarkCyan,7,49793497
19473887,Cyan,7,85733074
86082464,DeepSkyBlue,19,71653001
65767166,DarkSlateGray,12,93875290
69884670,MistyRose,3,39678569
78702778,Chocolate,19,23760808
46143341,DarkCyan,11,59464239
84156098,Yellow,2,76181709
42064698,LightSalmon,16,82960649
53125551,LightSlateGray,7,83133692
43280466,SeaGreen,11,44335261
96802396,Gray,16,29390801
15239853,FloralWhite,17,67726226
65345826,RosyBrown,15,61035572
69530892,LightSalmon,19,92234820
38391065,Magenta,2,97659316
98545081,DarkSlateGray,12,84222072
62276693,Aqua,16,45894066
84216513,Blue,11,12665908
54889571,LightYellow,8,93510597
72808970,Thistle,8,85566921
39477297,GhostWhite,11,19148368
97365851,ForestGreen,4,65870355
57331912,Orchid,7,64862463
44559452,DarkSeaGreen,13,23015399
63226832,RosyBrown,12,36488040
20983737,Coral,18,35352113
48063982,Azure,13,63201642
44462990,RosyBrown,16,61542533
50717718,Teal,0,29040400
41262078,LightPink,2,70601612
93412953,BlueViolet,19,44550293
31736401,DimGray,14,49436611
90886202,Pink,3,72036695
87171790,LightSalmon,19,62580512
40657826,DarkViolet,11,42609612
68805343,SlateGray,2,41400023
34977267,SkyBlue,11,13425156
37108963,AliceBlue,17,70334773
88864823,PaleVioletRed,3,80440934
12684633,Salmon,13,18414047
55813707,LavenderBlush,3,97633990
63540469,DarkSlateBlue,3,86509578
26659756,AliceBlue,17,23015399
84507909,DarkSlateGray,7,47441324
59662704,SandyBrown,1,65356305
55404514,LightSalmon,4,25289133
14554951,Cyan,11,38397382
12953424,HoneyDew,2,90618332
60447887,PaleVioletRed,12,61787446
25429629,MediumSlateBlue,0,93202178
61431118,DarkMagenta,12,40978067
65825124,MediumVioletRed,7,76315786
53664230,PaleGreen,14,15071520
37136612,Wheat,12,52090536
20007470,MidnightBlue,6,42631539
14899865,LightGreen,15,15765352
91941601,MintCream,10,26098279
80735017,Chartreuse,4,73697510
57547877,Gainsboro,1,65734481
51910091,HoneyDew,16,95500978
84291386,Cyan,1,56230328
93585429,MintCream,1,89256716
21691269,DarkMagenta,10,68498367
78564448,PaleVioletRed,3,88918324
67763163,LightGoldenRodYellow,17,64654220
33319530,PowderBlue,3,37857696
72879336,PaleGreen,14,54345588
38785316,PapayaWhip,10,85421599
30117592,Red,1,11401870
16684174,Wheat,15,39310237
23299069,DarkGoldenRod,14,50048383
86031843,DarkCyan,11,41393690
36491854,YellowGreen,9,93492853
34114749,OldLace,4,78690806
61107329,PaleGoldenRod,0,12020006
21176256,Bisque,10,41262067
55975414,Blue,4,86349837
15109843,Blue,6,53304905
92028091,FloralWhite,10,99041913
20972480,MediumSlateBlue,0,30952124
10695550,SaddleBrown,10,51782878
77779074,AliceBlue,17,84242139
39677673,Gray,10,18158684
83580100,DarkViolet,11,68752043
39653184,Purple,18,19653710
55087427,GreenYellow,16,94618925
92603755,PapayaWhip,4,19848850
84574581,RosyBrown,16,43170610
33488138,DarkSalmon,19,63531701
20062045,Linen,18,72693356
25866212,AliceBlue,17,35394313
64709036,Olive,18,98525890
74009520,Snow,16,75458597
31687399,Chartreuse,12,38645782
24653834,FireBrick,15,39270176
60047285,SlateBlue,12,31382318
66700494,MintCream,1,99424180
34247232,HotPink,9,73455145
23407188,DarkGreen,15,13112496
32175558,MediumSeaGreen,6,56153118
21405881,MistyRose,17,11152215
44477346,YellowGreen,19,21327698
99396525,Fuchsia,9,17674126
80300407,AliceBlue,9,52248952
88582298,Indigo,16,37552461
52181923,Red,1,32851417
93188840,Salmon,13,64029529
41974470,Pink,3,52871522
78327266,Snow,9,45148498
19433466,DarkViolet,8,65362072
81365415,Tan,7,20767986
70436299,MediumBlue,8,33257565
26080377,Violet,12,48881757
94621080,Plum,15,44975426
54013323,LightYellow,1,54407181
65672456,MediumSlateBlue,0,24446272
54804423,Magenta,8,95500978
24253790,LimeGreen,8,43427268
69915582,OrangeRed,5,71543276
35333441,BlueViolet,3,93269930
54448550,LavenderBlush,3,66041828
68193928,IndianRed,18,32574497
78654249,FloralWhite,10,28916703
69883272,Gray,10,18625111
80519791,OliveDrab,11,72607501
74247672,DarkOrchid,13,73530925
69282256,Teal,11,14382822
65588919,Coral,18,76486129
20441318,Coral,13,40069963
39531214,DarkSeaGreen,2,48881757
97427941,RoyalBlue,7,18750382
75842220,LightSlateGray,3,43930069
79294718,SaddleBrown,10,97742392
13247707,DarkOrchid,19,79447577
77313162,FireBrick,1,97656088
80555979,BlueViolet,1,33542820
24507142,DarkViolet,8,95450733
27040781,Beige,18,91012196
65761093,LemonChiffon,19,24576463
60476723,SeaShell,8,15627073
34220251,FloralWhite,17,14724872
90497358,Fuchsia,11,79694554
67696712,Purple,18,84995357
37855408,PapayaWhip,10,63436907
17949766,Fuchsia,5,37683466
79206667,ForestGreen,19,17569993
65901215,RoyalBlue,7,25800151
32273727,LightPink,8,84242008
90647559,MediumAquaMarine,3,47312263
89839020,MediumBlue,17,76459700
43450802,PaleGoldenRod,0,80279629
97595683,Peru,13,24737604
64612445,DarkGreen,15,87507057
75756970,PapayaWhip,5,47079160
36931024,Gainsboro,1,98361073
54911641,Coral,18,74840652
60219600,ForestGreen,13,92387905
81237140,LemonChiffon,11,11163082
16643292,Linen,18,80369660
70884722,GhostWhite,17,99980064
43618809,Wheat,9,26150543
75329432,FireBrick,14,67416763
35748447,LightBlue,6,11384890
66127842,Thistle,14,41409811
60684764,Gainsboro,19,29918826
66983075,DarkGoldenRod,9,38368539
62194469,Wheat,18,74699393
76969749,RosyBrown,16,10474247
11381700,Khaki,6,36488040
67327565,CornflowerBlue,0,90028832
53032428,Teal,11,53962295
83824918,PapayaWhip,10,27689797
49212856,DarkViolet,2,30781575
56962792,Orchid,7,94550512
17373470,Blue,6,73615723
80099885,Gainsboro,16,20076285
50522103,MintCream,10,29270436
87549214,Gold,4,13018851
51017330,Fuchsia,12,13697605
24702030,LightPink,11,97534637
53940747,MediumBlue,16,98272402
18387885,Teal,11,35370174
61674316,Gold,11,37096629
50032615,Navy,7,20688528
19652866,Blue,11,49090689
88180581,AliceBlue,3,41431837
34449007,CornflowerBlue,0,90867132
50729646,LightPink,11,84811313
91901550,Linen,18,11376665
98641536,LightYellow,1,36670717
68118115,FireBrick,9,36155506
42555350,Gainsboro,16,40957106
65955309,DarkViolet,8,12320255
27982335,OrangeRed,5,99452712
88108381,OrangeRed,15,96106837
55225535,OliveDrab,10,63573331
80499591,MintCream,3,22305409
22167874,RoyalBlue,19,45166352
47894039,LightSalmon,16,93853389
85551605,Salmon,7,25068048
32601465,Green,15,17537164
12299180,Coral,7,97079489
57134111,Chocolate,4,40069963
89851852,SteelBlue,16,40405100
60188924,DarkGreen,2,56810534
79848253,Chartreuse,14,98964040
70924254,GoldenRod,2,66633211
78891876,LightPink,2,26101880
69717205,RosyBrown,16,42325872
42384858,Gray,16,38726510
74859059,BlanchedAlmond,1,34812487
97339201,SlateGray,18,79025844
82081928,LightCoral,3,15247052
33804234,Fuchsia,5,15750177
24135566,Coral,13,32032720
53623269,IndianRed,18,57321101
64680929,LavenderBlush,14,84414746
78105158,SlateBlue,19,93379839
54826413,LightGreen,1,52117959
35053437,HotPink,6,67989187
83314010,DarkSlateGray,12,97079489
34468171,LavenderBlush,14,19524015
96992089,Purple,7,66978616
78056488,Magenta,2,34013417
86247031,WhiteSmoke,7,58745528
40345103,LightPink,8,68747041
70604250,Lavender,8,32536310
11168810,Gainsboro,1,18972181
74643793,BlueViolet,19,75458597
22914813,SandyBrown,1,29565920
85496888,BlueViolet,3,23156661
61716751,DarkGoldenRod,14,42215467
67010151,Silver,0,21561030
45569766,ForestGreen,19,97598211
65573796,MediumBlue,8,78437211
30267915,Tomato,18,65362072
80575468,Wheat,18,39576567
94027382,Moccasin,3,14201173
38559567,MediumSeaGreen,6,15471778
92569791,SlateGray,2,84810103
51211480,Magenta,2,25861518
51466422,Teal,0,11109990
27492492,MediumSpringGreen,3,14442768
12200573,GreenYellow,16,67534817
30328445,ForestGreen,13,93496078
78361172,PaleVioletRed,12,58717473
42059334,Tomato,16,66654923
54986496,MediumVioletRed,5,72628094
61862093,SlateBlue,18,94858079
78419042,DarkSlateGray,7,55749780
73846725,Magenta,19,25264560
60623803,MidnightBlue,6,33229027
97631409,MediumAquaMarine,2,64097008
19920562,BurlyWood,1,50835368
24446398,MediumSeaGreen,1,53887136
36031263,DarkBlue,18,14382822
10376289,OldLace,4,41264595
10300200,YellowGreen,5,18760300
16874923,Cyan,11,71208835
77939630,Gray,2,74714417
92688206,Azure,12,93525984
38968106,Cyan,7,42410030
52621873,Chocolate,19,84097477
47397500,DarkGoldenRod,14,74608450
99305654,Moccasin,6,73488129
74631181,Navy,9,98681015
97555286,LightPink,8,40447874
63452786,LightSalmon,3,12086963
39611528,SlateBlue,12,44085426
15932781,LightBlue,5,57355472
57584580,OrangeRed,1,53946189
41792911,Plum,2,61144370
98743630,OldLace,4,98148580
31167295,GoldenRod,18,82199728
70416201,Coral,18,37245861
80422605,BlueViolet,3,62369907
31256573,LimeGreen,11,26041364
10360696,CadetBlue,7,15297475
93669240,Tan,7,91168016
52195637,SeaShell,0,53224790
45830896,Wheat,13,40403395
61279040,Purple,17,93875290
86531120,AliceBlue,3,73889749
97813137,Snow,16,35588657
70171830,DarkViolet,2,39365845
62698503,FireBrick,1,42980267
70635720,FloralWhite,17,35031133
44423134,LightSalmon,4,56872788
81533201,FloralWhite,10,24446272
81106433,CornflowerBlue,15,69154148
41218695,DarkTurquoise,15,75103686
22864539,LemonChiffon,11,55537927
57739889,LightGreen,15,93527808
90968991,DarkKhaki,16,35627090
15102322,HoneyDew,2,94039017
46336296,ForestGreen,13,37612375
76109349,GreenYellow,2,30647071
21744377,SkyBlue,11,61383669
51562083,Peru,8,47604930
61777936,ForestGreen,11,10487276
72708582,LightSlateGray,3,34737138
37945908,Fuchsia,12,90718685
11910719,LemonChiffon,17,98600874
25485868,DarkOrchid,19,87723074
33304916,LightSalmon,4,31267155
91340313,Teal,0,12086963
33793900,HoneyDew,2,62216693
53742108,DimGray,8,85837034
58736785,Moccasin,3,98739892
77169617,LavenderBlush,3,84062407
41836450,Cyan,2,89816626
31525161,MediumAquaMarine,3,98237000
37659211,Coral,7,45223511
81944801,Orchid,7,75175890
99142319,Purple,18,25408473
31350047,MediumVioletRed,7,57696627
53178326,DarkSlateBlue,14,12503199
10078832,RoyalBlue,7,38649307
99964821,FloralWhite,10,87102258
48978284,LightCyan,17,24900938
38299036,MediumSeaGreen,6,90340202
76805248,MidnightBlue,11,17926037
74284351,FireBrick,14,53304905
16378410,DarkGreen,2,90980065
82959416,LimeGreen,11,62140795
50644183,DarkSalmon,19,26818708
19952829,BlueViolet,1,23558625
12615936,SlateBlue,19,35262466
83746993,DeepSkyBlue,10,75378113
35328308,Fuchsia,12,68098850
96486650,Coral,8,93081775
72195404,SlateBlue,19,18751796
72248158,MistyRose,3,81688038
67503486,DeepSkyBlue,19,53304905
39571712,AliceBlue,17,55312131
80989650,LavenderBlush,16,63132711
28369914,LightSteelBlue,6,86005927
62214437,DeepPink,8,11640674
77743393,WhiteSmoke,7,64414774
25717348,Blue,11,68536839
11264019,AntiqueWhite,14,72998294
78712139,DarkSlateGray,12,49567799
62586042,Gray,2,79881473
87609813,IndianRed,18,75637427
90589561,Blue,14,75125905
31585631,RosyBrown,4,77748319
26153385,Gainsboro,17,62467442
36091277,LightSlateGray,3,15600323
14582100,OliveDrab,11,17538594
40322135,Cyan,11,31417174
35342755,LightSalmon,19,33770583
94905597,Fuchsia,10,86289134
68643010,GhostWhite,11,17112977
30081075,Orange,5,99014128
23394565,Purple,7,62879363
36556346,Peru,8,83517875
91013091,DarkKhaki,16,57488002
31087713,LightPink,17,73615723
42343902,RoyalBlue,7,80669770
52617129,FireBrick,9,15357336
97011202,Bisque,18,22103666
94197469,Blue,4,79913030
58656492,Salmon,7,14772624
61655366,Tan,7,27379982
51403875,LightPink,8,75301277
66088554,PaleTurquoise,19,92091726
32693360,Purple,18,23694618
66595264,DarkCyan,11,24338249
82718994,DarkKhaki,16,47448273
35767667,Gray,2,82875665
78096504,PaleGreen,14,42617513
22702149,Aqua,1,88937615
19266449,MediumSpringGreen,3,80238664
64634698,DarkKhaki,1,44204281
73270219,MediumSpringGreen,3,70738109
41108202,PaleVioletRed,12,38279739
55320950,LightBlue,15,71296487
88793477,SandyBrown,1,54670997
20724365,PaleGreen,14,77559895
45739615,SeaGreen,2,33155283
49872325,DarkOrchid,13,84222072
75785115,LightSalmon,8,38476839
94587337,DarkCyan,7,11594982
53143557,YellowGreen,19,74901044
74490791,Chocolate,19,65719852
56338248,DarkGreen,15,81134328
47928386,Chartreuse,12,90259652
35736781,BurlyWood,5,89549119
10091163,FireBrick,14,44512926
19965512,OliveDrab,11,89040327
22311333,Turquoise,0,69277713
63086750,Gold,11,11827315
82737443,SaddleBrown,10,31013991
99752215,Wheat,9,76359061
85661804,Orchid,7,24693188
94834671,Olive,17,64805144
28471873,MintCream,18,95320833
70214207,DarkCyan,7,24271406
94950299,LightYellow,1,57862337
14015674,Linen,14,17735639
48174902,DarkCyan,11,72312843
54713964,IndianRed,19,82402769
49589939,BlueViolet,1,87450238
51372129,Coral,10,34703901
98983086,IndianRed,18,45422076
81350364,Beige,18,99137647
12962107,MediumBlue,16,34921014
49361302,PapayaWhip,4,21621583
84481562,LightYellow,1,82615145
78887646,PaleGreen,14,87450238
60257064,Fuchsia,12,18341643
95433638,Yellow,2,18122490
88287476,Tan,15,98681015
38683205,RosyBrown,16,79124978
59788850,Beige,18,74149851
63605583,LightCyan,17,43606706
36347814,SlateGray,18,76818954
14135567,Chartreuse,14,75301277
60938411,DarkSeaGreen,2,71653001
46035745,SlateGray,10,16328812
38067268,SeaGreen,2,28673504
99229825,MediumVioletRed,5,48408723
85791376,LightSkyBlue,12,45894066
72145682,Moccasin,6,99618456
85550828,LightPink,11,98894111
65892427,Khaki,6,65129884
18732271,LightBlue,15,76057979
49572414,Blue,14,88654487
81447277,LavenderBlush,3,98894111
58285057,Cyan,11,18750382
68398960,Teal,11,90216795
78325645,Azure,12,87723074
91359102,SeaShell,0,53665097
72542821,Salmon,7,53556768
19723085,DimGray,14,87660539
71366791,GreenYellow,16,81038508
26080843,GhostWhite,17,10631218
30992858,DarkGreen,2,96728852
95326668,Olive,17,18400262
49910722,DarkCyan,7,73941947
21736474,Silver,0,15006110
49749324,Green,15,78428987
66035810,LemonChiffon,17,64205527
56678263,LightSeaGreen,14,14760307
33491144,DarkSalmon,19,17870581
82855976,AliceBlue,3,51011847
39057143,MediumVioletRed,12,90123815
47501784,SlateBlue,12,58220955
53331143,DarkSlateBlue,3,81350762
46841685,Navy,7,98641666
43417377,MistyRose,3,48143874
86760413,Orchid,9,18217763
60735111,Coral,13,99000080
88155334,PaleGreen,2,12169187
25228604,Azure,13,90087676
50890267,PapayaWhip,5,10160112
23725323,Thistle,14,12665908
14628213,Khaki,11,34703901
65042936,Gainsboro,17,96872560
92705668,Snow,16,16543215
46031794,Thistle,11,72112667
55430227,CadetBlue,7,48806818
78411630,Bisque,10,43632417
28486306,LightSalmon,3,88703721
16366723,RoyalBlue,14,52900209
86366207,Cyan,2,47456334
48010280,Tomato,16,61182804
18935441,DimGray,8,27387516
39669935,MediumBlue,8,28414649
84864235,Blue,14,22343119
34057116,DarkSlateBlue,6,25752721
32312261,WhiteSmoke,16,74066198
43191396,LightBlue,1,28970380
13007428,PapayaWhip,4,10320509
57927756,DarkTurquoise,14,89484852
90857649,IndianRed,18,75948960
38824799,DimGray,14,90980065
47581304,Green,15,75606351
46811605,Coral,8,33075734
98527407,Yellow,2,21164009
73986489,PaleGoldenRod,0,30430663
90743289,MediumSeaGreen,6,68300283
10806525,SlateGray,18,72998294
59784859,LightSteelBlue,5,74560585
19972083,MidnightBlue,6,90340202
52636081,HotPink,6,60837950
83807938,DarkGreen,15,71026029
53579642,LightSteelBlue,6,55919980
95266175,RoyalBlue,7,66352495
51646474,YellowGreen,3,33279835
69244061,SlateBlue,19,57037516
30531316,RoyalBlue,19,71796946
57260298,PaleGreen,2,47628503
73537110,PapayaWhip,10,71543697
57825127,ForestGreen,19,19140694
16648396,Chartreuse,12,61279075
12837179,LightSalmon,16,72998294
88232407,LightGray,9,42223076
93833773,Gainsboro,17,20217359
13977245,PapayaWhip,5,77974157
57229448,SlateBlue,19,28931009
